Job Position,Office,City,Country,Salary,Work Time,Job Level,Job Level Specific,Job_Category,Industry,Qualification 1,Qualification 2,Qualification 3,Qualification 4,Qualification 5,
IT Security Engineering,PT Global Urban Esensial,Tangerang Selatan,Indonesia,Salary Undisclosed,Full Time,Entry Level,"Junior, Apprentice",IT and Software,Health / Fitness,Minimum of 3 - 5 years of experience in IT Security,Good understanding of network protocols and any programming language.,Solid communication (verbal and written) skills.,Good presentation skills which include ability to adapt to different audiences.,"Proactive and self-driven to go above and beyond their tasks, with strong attention to detail.",
IT Solution Architect,"PT Bank OCBC NISP, Tbk",Tangerang,Indonesia,Salary Undisclosed,Full Time,Mid-Senior Level,Manager,IT and Software,Banking,Minimum experience of at least 3 years as a Solution Architect,Understand microservices architecture,Have good analitic,"Understand application design principles, including design patterns, and be able to create scalable architecture","Have deep and broad technical knowledge including databases, programming languages",
IT Solution Sales / Presales,PT Anabatic Digital Raya,Jakarta Selatan,Indonesia,Salary Undisclosed,Full Time,Entry Level,"Junior, Apprentice",IT and Software,Information Technology / IT,"Minimum bachelor degree in IT, Information System, Computer Science, Management information system, Management or any related field.","Minimum 2 Years experiences as Presales, Solution Sales, Product Sales, Solution Manager, Business Analyst etc especially related to Anti Money laundering/Enterpise Fraud system is preffered.","Confident, Good Communication and Presentation Skill, Attention to detail, Open personality, Self-organized.",Fluent in English (speaking and writing).,,
IT Support KOMPAS TV,Kompas Gramedia,Jakarta Barat,Indonesia,Salary Undisclosed,Full Time,Entry Level,"Junior, Apprentice",IT and Software,Media Production,"Bachelor degree majoring in Information Technology, Computer and Network Engineeringing, Software Engineeringing, Computer Science, or other related majors.",Have at least 1 year working experience (freshgraduate are welcome to apply),Have knowledge about master Microsoft operating system,Able to work with quick and precise analysis when there are complaints from users about the computer,Understand computer hardware components and how to assemble them,
IT Technical Support,Acies,Singapore,Singapore,"IDR 28,970,075.00 - IDR 34,764,090.00",Full Time,Associate,Supervisor,IT and Software,Innovation Enabler Studio,Higher Nitec and above in Information Technology or related field,Provide IT technical service desk and onsite support for end-user services,"Support desktops, notebooks, printers and other hardware components.","Minimum 3 years of IT (EUC) relevant experience in Apple products, applications and networks.",,
IT Vendor Management Staff,Asuransi Astra,Jakarta Selatan,Indonesia,Salary Undisclosed,Full Time (Remote),Entry Level,"Junior, Apprentice",IT and Software,Insurance,"Possess at least bachelor degree, from reputable university",Deep understanding about information technology,Minimum 1 year experience on related field,Strong analytical and planning skills,Good communication and presentation skills,
Japanese- Customer Service Specialist,Growthfn,Kuala Lumpur,Malaysia,"IDR 39,788,880.00",Full Time,Entry Level,"Junior, Apprentice",Customer Service,Human Resources,Experience in emergency response or high-stress emergency communication center environments,Ability to clearly communicate with customers in a timely manner,Experience working with a CAD application and proficient in MS Office,Experience and knowledge of regulations and compliance within an emergency services environment,"Open to flexible scheduling based on preference, including days, nights, and weekends",
Java Developer,PT IDStar Cipta Teknologi,Jakarta Selatan,Indonesia,Salary Undisclosed,Full Time,Mid-Senior Level,Manager,IT and Software,Information Technology / IT,Good in communication,Candidate must possess at least Bachelor's Degree In Engineeringing (Computer/Telecommunication) or Equivalent,Able to work independently and part of a team,Proven Analytical and problem-solving skills,2 - 3 years experience developing backend using spring or spring boot,
Java Developer,PT InMotion Inovasi Teknologi,Jakarta Pusat,Indonesia,Salary Undisclosed,Full Time,Entry Level,"Junior, Apprentice",IT and Software,Information Technology / IT,"Candidate must possess at least a Bachelor's Degree, Computer Science or Information Technology, Engineeringing (Computer or Telecommunication) or equivalent",Has at least 2 years of experience as Java developer.,Good knowledge in object-oriented programming,Good understanding and have passionate in Java Programming Language,Good knowledge in Database concept,
Java Developer - Pakuwon,PT. Indocyber Global Technology,Jakarta Selatan,Indonesia,Salary Undisclosed,Full Time,Entry Level,"Junior, Apprentice",IT and Software,Information Technology / IT,Expert in Java Programming,Expert in SQL using database Mysql or Oracle or postgresql,"Have knowledge in Spring/Springboot mvc, spring-jdbc, hibernate, servlet, JPA","Familiar with Javascript, HTML 5, and CSS3",,
Jewellery Representative Bandung,PT Central Mega Kencana,Bandung,Indonesia,Salary Undisclosed,Full Time,Entry Level,"Junior, Apprentice",Sales and Marketing,Retail Industry,Maximum 35 years old.,Minimal D3/S1.,At least 1 year of working experience in sales marketing.,Willing to be placed in Bandung.,"Willing to work in shift hours, including weekend and public holiday.",
Junior Accountant,M2.0 Communications Inc.,Mandaluyong,Philippines,"IDR 8,350,598.73 - IDR 11,134,131.64",Full Time,Entry Level,"Junior, Apprentice",Accounting and Finance,Public Relations / PR,Bachelor’s or higher degree in Accounting or Finance,Strong understanding of accounting theory,CPA designation required,1-2 years accounting/finance experience,Highly detail-oriented and organized in work,
Junior Bar,Fusia Group,Surabaya,Indonesia,"IDR 2,300,000.00 - IDR 2,500,000.00 / month",Full Time,Entry Level,"Junior, Apprentice","Hotel, Restaurant and Travel",Food and Beverages,Minimum high school education,Minimum 1 year experience in the same field,,,,
Junior Collection Officer,Kitabisa,Jakarta Selatan,Indonesia,Salary Undisclosed,Contractual,Entry Level,"Junior, Apprentice",Sales and Marketing,IT and Software,"Bachelor's degree in finance, business administration, or a related field. Relevant certifications in credit management or collections are a plus.","Proven experience in collections, credit risk management, or a related role within the financial industry, preferably in the P2P lending or consumer lending sector.","Strong understanding of collection processes, credit risk assessment, and regulatory requirements in the lending industry.","Excellent knowledge of collection laws, practices, and techniques, with a focus on maintaining compliance and ethical standards.","Demonstrated ability to effectively negotiate with delinquent borrowers, employing tact, empathy, and persuasion to achieve positive outcomes.",
Junior Finance Executive,Glampick Sdn Bhd,Kuala Lumpur,Malaysia,"IDR 6,631,480.00 - IDR 8,289,350.00",Full Time,Associate,Supervisor,Accounting and Finance,Cosmetics,"Candidates should either have completed or be actively pursuing a Bachelor's Degree, Post Graduate Diploma, or Professional Degree in Finance/Accountancy/Banking or a relevant discipline.",Work experience is not necessary,Fresh graduates are encouraged to apply,A strong command of Microsoft Excel and Word is essential.,The ability to work independently and have effective communication skills is crucial.,
Junior IT Auditor,Permata Bank,Jakarta Pusat,Indonesia,Salary Undisclosed,Full Time,Associate,Supervisor,IT and Software,Banking / Mortgage,"Bachelor’s degree in IT, Computer Science, Accounting Information Systems or related field.","Other relevant certification is a plus i.e. CISSP, ISO 27001 Auditor etc.",Proven experience in IT auditing minimum 2 years.,"Deep understanding of IT frameworks like COBIT, ITIL, and ISO/IEC 27001.","Excellent analytical, problem-solving, and reporting skills.",
Junior Leadership Development Program,Astra Credit Companies (ACC),Jakarta Selatan,Indonesia,Salary Undisclosed,Full Time,Entry Level,"Junior, Apprentice",Sales and Marketing,Financial Services,Bachelor degree from reputable university (open for all major),GPA min. 3.00,Max. 25 years old,Fresh graduates or max. 2 years of working experiences,Experience in organization is more prefered (min. as coordinator),
Junior Officer Development Program Batch 53 ,FIFGROUP,Jakarta Selatan,Indonesia,Salary Undisclosed,Full Time,Entry Level,"Junior, Apprentice",General Services,Financial Services,Have a good communication skill,Have a good presentation skill,Excellent problem-solving skill,Have a good planning drive,Have a strong analytical thinking,
Junior Procurement Executive (Beauty),Glampick Sdn Bhd,Kuala Lumpur,Malaysia,"IDR 6,631,480.00 - IDR 9,947,220.00",Full Time,Associate,Supervisor,Sales and Marketing,Cosmetics,"A bachelor’s degree in business administration, Supply Chain Management, or a related field. Fresh graduates are welcome.",Passion for the beauty industry and knowledge of beauty products and trends.,Strong analytical and negotiation skills.,Excellent communication and relationship-building abilities.,"Proficiency in Microsoft Office applications (Excel, Word, PowerPoint).",
Junior Project Officer - Sales,Kompas Gramedia,Makassar,Indonesia,Salary Undisclosed,Full Time,Entry Level,"Junior, Apprentice",Sales and Marketing,Media Production,Man/Woman,Min. 1 year experience in Sales and Marketing,"Attractive appearance, communicative, active",Mastering the MS program. Office and English,"Enjoys the field of MICE (Meeting, Incentive, Convention and Exhibition) l event organizing",
Junior Software Developer,Mavericks Consulting,Singapore,Singapore,Salary Undisclosed,Full Time,Entry Level,"Junior, Apprentice",IT and Software,Information Technology and Services,"Experience working in cross-functional Agile software Engineeringing teams that used practices like Kanban/Scrum/Lean/XP, Test Driven Development (TDD), Continuous Integration/ Continuous Delivery (CI/CD), etc.","Worked with multiple languages (e.g. Java, Ruby, Python, Scala, GoLang, etc.)",Good understanding of end-to-end application architecture,"Experience in other areas of the SDLC (e.g. Testing, Deployment, Requirement Gathering, etc.)",Experience with DevOps practices and Automation tools,
Junior Warehouse Manager,AVO Innovation Technology,Yogyakarta,Indonesia,Salary Undisclosed,Full Time,Mid-senior Level,Manager,Supply Chain and Logistics,Cosmetics,"Bachelor's degree in Industrial Engineeringing, business, or a related field;","Minimum of two years of experience in a related field, FMCG will be preferred;","Proven experience in supply chain analysis and transformation, preferably in a similar role;",Strong analytical and problem-solving skills;,Proficiency in omnichannel and WMS;,
Kasir Outlet Mie Setan Bromo,Mie Setan Bromo Malang,Malang,Indonesia,"IDR 1,000,000.00 - IDR 1,200,000.00 / month",Full Time,Entry Level,"Junior, Apprentice","Hotel, Restaurant and Travel",Food and Beverages,Minimum education is SMA/SMK equivalent,Maximum age 26 years,Work experience as a cashier or similar position is preferred,Have good communication skills and friendly customer service.,Domiciled in Malang,
Kepala Instalasi IGD and MPP,Rumah Sakit BSH,Bogor,Indonesia,Salary Undisclosed,Full Time,Associate,Supervisor,"Hotel, Restaurant and Travel",Hospital / Health Care,Male Female,Medical Professional Education,Have active STR,Has ACLS/ATLS and Hyperkes Certificate,Experienced as Head of Emergency Department in a hospital min. 3 years,
Key Account Executive (Offline-Beauty),Glampick Sdn Bhd,Kuala Lumpur,Malaysia,"IDR 8,289,350.00 - IDR 11,605,090.00",Full Time,Associate,Supervisor,Business Development and Sales,Cosmetics,Proven experience as a Key Account Executive or in a similar sales role within the beauty industry.,"Strong knowledge of the beauty industry, including trends, products, and consumer preferences.","Excellent sales, negotiation, and relationship-building skills.",Demonstrated ability to meet or exceed sales targets and drive business growth.,Strong analytical and problem-solving abilities.,
Key Account Manager,Waste4Change,Bekasi,Indonesia,Salary Undisclosed,Full Time,Associate,Supervisor,Sales and Marketing,Environmental Services,Leading a team responsible for sales and revenue results in the Recycle Business Unit.,Canvassing and dealing with potential clients.,Ensure project management coordination with external clients and internal teams from various divisions to achieve business goals.,Monitor and evaluate business income targets and project milestones.,,
"Key Account Manager (esports, Events)",Mineski Philippines,San Juan,Philippines,"IDR 9,742,365.19 - IDR 13,917,664.55",Full Time,Associate,Supervisor,Sales and Marketing,Media Production,"Bachelor’s degree in business, marketing, or a related field",Proven experience as an Account Manager/Key Account Manager,Experience in sales and providing solutions based on customer needs,"Experience in FMCG, alcohol/tobacco, esports, events, and/or telecommunications industry is a plus",Ability to build strong relationships with clients,
Kitchen Mie Setan Bromo Malang,Mie Setan Bromo Malang,Malang,Indonesia,"IDR 1,000,000.00 - IDR 1,200,000.00 / month",Full Time,Entry Level,"Junior, Apprentice","Hotel, Restaurant and Travel",Food and Beverages,maximum 26 years,Minimum education is SMA/SMK equivalent,Experience in the kitchen field is a plus,Willing to work shifts,Domiciled in Malang,
Kitchen Staff,PPP Coffee,Singapore,Singapore,"IDR 19,699,651.00 - IDR 23,176,060.00",Full Time,Entry Level,"Junior, Apprentice","Hotel, Restaurant and Travel",Food and Beverages,No experience required,"6-days workweek, including weekends and public holidays",Positive working attitude,Experience in food preparation and cooking is an added advantage,,
KOL and Affiliates Specialist,FinAccel,Jakarta Selatan,Indonesia,Salary Undisclosed,Full Time,Entry Level,"Junior, Apprentice",Sales and Marketing,Financial Services,"Bachelor in Communications, Marketing, or related field","Minimum 2-3 years of relevant experience as a KOL Specialist, affiliate marketing specialist or similar role, proven by a portfolio","Experience with affiliate marketing software and tools, including but not limited to tracking links, creatives, and reporting","Strong understanding of performance marketing, conversion tracking, and online customer acquisition is a big plus","Excellent communication, interpersonal, and project management skills",
KOL Partnership Specialist,NOKA - NOU Creative Group,Malang,Indonesia,"IDR 2,500,000.00 - IDR 5,000,000.00 / month",Full Time,Entry Level,"Junior, Apprentice",Sales and Marketing,Cosmetics,"WFH, working remotely except in Malang.","Creative, communicative, initiative, able to work together.","Honest, responsible, professional and polite.","Experience handling KOLs in FMCG brand companies, Beauty (Lilith n Eve, Skintific, Brighty, Noera, Azarine, Somethinc, etc.)","1-2 years working in the KOL and Partnership realm (Twitter, Instagram, TikTok, Youtube, Visitation, Livestreaming)",
Korean Speaker- Customer Service,Growthfn,Kuala Lumpur,Malaysia,"IDR 38,131,010.00",Full Time,Entry Level,"Junior, Apprentice",Customer Service,Human Resources,Take calls and provide accurate answers to customer queries.,Delivery excellent customer support and services and offering patient assistance at all times.,"Respond to customers’ inquiries over knowledge acquired through training (client product, continuous improvement, and refresher courses).",Deliver customer support and services effectively through active communications.,Meet and exceed all key performance indicators the company and the client sets.,
Learning and Development Analyst at CHR Kompas Gramedia,Kompas Gramedia,Jakarta Barat,Indonesia,Salary Undisclosed,Full Time,Entry Level,"Junior, Apprentice",Human Resources,Media Production,Min. Bachelor degree any major from a reputable university.,"Have good understanding about learning ecosystem, especially andragogy.",Have 1 related experience to help people to grow.,Passionate in people development field.,Strong analytical thinking and creative problem solving.,
Learning Program Development Specialist,PT BFI Finance Indonesia Tbk,Tangerang,Indonesia,Salary Undisclosed,Full Time,Associate,Supervisor,IT and Software,Financial Services,"Minimum S1 education, all majors",Have a minimum of 1-2 years work experience in the same field,"Expertly master the use of Ms. Office, especially the use of Ms. Excel in data processing such as VLOOKUP, HLOOKUP, Sum, IF and other Excel functions",Have good communication skills and easy to adapt to new environments,Have good analytical skills,
Lecturer in Film,Kompas Gramedia,Tangerang,Indonesia,Salary Undisclosed,Full Time,Associate,Supervisor,Media,Media Production,Candidate must possess at least Masters or Doctoral degree in related majors from reputable university,Having excellent understanding about Film Production (Producer)/ Film Directing/ Cinematography/ Offline Editing/ Online Editing/ 2D Animation/ Motion Graphic/ Digital Painting/ Illustration/ Visual Development/ Virtual Production.,At least 2 years of teaching or work experience in the related fields required for these positions,ICT (Information and Communication Technology) literate,A candidate who has JJA and/or publication is preferable,
Lecturer in Information System,Kompas Gramedia,Tangerang,Indonesia,Salary Undisclosed,Full Time,Associate,Supervisor,Media,Media Production,Hold Doctoral Degree in Information System/Information Technology from reputable university,Areas of expertise: Web Programming/Programming Languages (C#/Java/Python/Android Studio/SAP/Hadoop/Oracle); Data Science,Has organization skill and experienced in managing team,At least 2 years of teaching or work experience in the related fields required for these positions,ICT (Information and Communication Technology) literate,
Lecturer in Visual Communication Design,Kompas Gramedia,Tangerang,Indonesia,Salary Undisclosed,Full Time,Associate,Supervisor,Media,Media Production,Candidate must possess at least Master or Doctoral Degree of Visual Communication Design from a reputable university,"Has knowledge and/or experience in Motion Graphic; immersive (AR, VR, XR).",At least 2 years of working experience in the related fields required for this position,ICT (Information and Communication Technology) literate,Good English Proficiency (at least 6.5 IELTS score with minimum of 6.0 in each category),
Live Streaming,Dekoruma,Jakarta Barat,Indonesia,Salary Undisclosed,Contractual,Entry Level,"Junior, Apprentice",Sales and Marketing,E-Commerce,Minimum high school/vocational school graduate,Want to learn about furniture products,Willing to work at Dekoruma Experience Center,Look attractive and confident in appearing in front of the camera,Preferably those who already have live stream experience/portfolio,
Lives Host,Borderless Trade,Kuala Lumpur,Malaysia,"IDR 6,631,480.00 - IDR 13,262,960.00",Full Time,Entry Level,"Junior, Apprentice",Design,International Trade and Development,Language: Malay and Chinese OR Malay and English,Can start immediately and earn money right now,,,,
Livestreamer,Borderless Trade,Kuala Lumpur,Malaysia,"IDR 6,631,480.00 - IDR 13,262,960.00",Full Time,Entry Level,"Junior, Apprentice",Design,International Trade and Development,Language: Malay and Chinese OR Malay and English,Can start immediately and earn money right now,,,,
Machine Learning Engineering - Oval Data,Kompas Gramedia,Jakarta Barat,Indonesia,Salary Undisclosed,Full Time,Entry Level,"Junior, Apprentice",IT and Software,Media Production,Experienced in developing machine learning models,"Experienced in using Go, python and SQL",Familiar with docker and kubernetes,Familiar with Test Driven Development process,Familiar with Git versioning tool,
Maintenance Staff,Think Indonesia,Surabaya,Indonesia,"IDR 4,900,000.00 / month",Full Time,Mid-Senior Level,Manager,Human Resources,Management Consulting,Minimum education: Bachelor's Degree in Mechanical / Industrial / Electrical Engineeringing,Maximum age 30 years,Experienced min. 2 Years as Maintenance Staff,"Understand maintenance of production machines, electricity and PLC",Have a quick response and thorough preparation and have an internal discipline attitude,
Maintenance Staff,Grand Lucky Superstore,Badung,Indonesia,"IDR 3,000,000.00 - IDR 3,500,000.00 / month",Full Time,Entry Level,"Junior, Apprentice",Supply Chain and Logistics,Retail Industry,"Male, maximum age 28 years",Experienced min. 2 years in the same field,Minimum education is Vocational School majoring in Electrical Engineeringing,Mastering High and Low currents,"Able to master analysis, repair and preventive maintenance",
Maintenance Technician,Hoya Electronics Singapore Pte Ltd,Singapore,Singapore,Salary Undisclosed,Contractual,Entry Level,"Junior, Apprentice",Manufacturing and Production,Manufacturing,Perform maintenance tasks on equipment as needed.,Troubleshoot equipment issues and identify solutions.,Conduct daily checks and inspections on equipment to ensure proper functioning.,Prepare and maintain records of equipment performance on a weekly basis.,Manage and maintain an inventory of spare parts for equipment to ensure availability when needed.,
Malaysia - ChatGPT Marketing Copywriter (Full-Remote),Aha AI,New York,United States,Salary Undisclosed,Full Time (Remote),Entry Level,"Junior, Apprentice",Sales and Marketing,Computer Software,"Exceptional Writing Ability: Able to write in an engaging, persuasive and creative style. Have a strong understanding of consumer psychology.",Understand the basics of search engine optimization (SEO) and be able to integrate them into the content produced.,"Able to conduct in-depth research on industry, trends, and competitors to produce relevant content.",Ability to collaborate effectively with cross-disciplinary team members.,,
Malaysia - Senior Back-End Engineering (Full-Remote),Aha AI,New York,United States,Salary Undisclosed,Full Time (Remote),Entry Level,"Junior, Apprentice",IT and Software,Computer Software,"Minimum 5 years of professional experience as a Back-End Engineering, with a proven track record of delivering scalable and high-performance solutions.",Strong problem-solving and troubleshooting skills with the ability to analyze and resolve complex issues.,Excellent communication skills and the ability to collaborate effectively within a remote team environment.,Proven ability to mentor junior developers and contribute to the technical leadership of the team.,"Bachelor's or higher degree in Computer Science, Engineeringing, or a related field.",
Malaysia - Senior Engineeringing Lead (Full-Remote),Aha AI,New York,United States,Salary Undisclosed,Full Time (Remote),Entry Level,"Junior, Apprentice",IT and Software,Computer Software,"Minimum 5 years of professional experience as a Back-End Engineering, with a proven track record of delivering scalable and high-performance solutions.",Strong problem-solving and troubleshooting skills with the ability to analyze and resolve complex issues.,Excellent communication skills and the ability to collaborate effectively within a remote team environment.,Proven ability to mentor junior developers and contribute to the technical leadership of the team.,"Bachelor's or higher degree in Computer Science, Engineeringing, or a related field.",
Malaysia - Senior Front-End Engineering (Full-Remote),Aha AI,New York,United States,Salary Undisclosed,Full Time (Remote),Entry Level,"Junior, Apprentice",IT and Software,Computer Software,"Minimum 5 years of professional experience as a Back-End Engineering, with a proven track record of delivering scalable and high-performance solutions.",Strong problem-solving and troubleshooting skills with the ability to analyze and resolve complex issues.,Excellent communication skills and the ability to collaborate effectively within a remote team environment.,Proven ability to mentor junior developers and contribute to the technical leadership of the team.,"Bachelor's or higher degree in Computer Science, Engineeringing, or a related field.",
Malaysia - Senior Full-Stack Engineering (Full-Remote),Aha AI,New York,United States,Salary Undisclosed,Full Time (Remote),Entry Level,"Junior, Apprentice",IT and Software,Computer Software,Minimum 4 years experiences as Full Stack Developer using ReactJS and Node JS,Mandatory experience with MongoDB,"Able to write clean, clear, and readable code",Fluent in English,"Experience with other frontend framework, such as: VueJS is a plus",
Malaysia - Senior Mobile App Engineering (Full-Remote),Aha AI,New York,United States,Salary Undisclosed,Full Time (Remote),Entry Level,"Junior, Apprentice",IT and Software,Computer Software,"Have 3+ years of experience doing penetration testing on system infrastructure, mobile apps, and web apps.","Have knowledge of hacking techniques on system infrastructure, mobile apps, and web apps.","Having an understanding of hacking techniques is not only limited to using tools, but is able to understand the hacking process manually.","Understand standards and frameworks for vulnerability scanning and penetration testing processes such as OSSTMM, OWASP, PTES, etc.",,
Malaysia - Senior UI/UX Web/App Designer (Full-Remote),Aha AI,New York,United States,Salary Undisclosed,Full Time (Remote),Entry Level,"Junior, Apprentice",Design,Computer Software,"A Bachelors or Masters degree in Design, Human-Computer Interaction, or a related field is desirable.","At least 15 years of experience as a UX/UI designer, with a strong portfolio showcasing successful projects across multiple platforms.","At least 5 years of experience in a leadership or management role, with the ability to effectively lead and inspire a design team.",Strong problem-solving skills and the ability to think strategically while maintaining attention to detail.,"Ability to portray an unconventional, creative, and innovative thought process.",
Malaysia - TikToker YouTuber Creator (Full-Remote),Aha AI,New York,United States,Salary Undisclosed,Full Time (Remote),Entry Level,"Junior, Apprentice",Sales and Marketing,Computer Software,"Demonstrable experience in creating and producing engaging content for TikTok and YouTube, with a portfolio showcasing your creativity and style.","In-depth knowledge of TikTok and YouTube algorithms, trends, and best practices.","Proficiency in video editing software (e.g., Adobe Premiere Pro, Final Cut Pro) to produce high-quality and visually appealing content.",Ability to adapt content creation to suit different platforms and audience preferences.,"Excellent communication and storytelling skills, with the ability to connect with diverse audiences.",
Management Development Program (MDP),PT Bank Central Asia Tbk,Jakarta Pusat,Indonesia,Salary Undisclosed,Full Time,Entry Level,"Junior, Apprentice",Management and Consultancy,Financial Services,Want to learn and like challenges,"Have skills in leadership, interpersonal and communication",Willing to be placed throughout Indonesia,Fresh graduates are welcome to apply,Minimum Bachelor's Degree with min. GPA 3.00 (for S1),
Management Information System Specialist ,PT. Astra Welab Digital Arta,Jakarta Selatan,Indonesia,Salary Undisclosed,Full Time,Entry Level,"Junior, Apprentice",IT and Software,Information Technology / IT,"Bachelor's degree (S1) majoring in Computer Science, Engineeringing, Statistics, IT.",Have a minimum of 2-3 years work experience in the related field.,Mandatory experience in using SQL,"Have knowledge in Business Intelligence Tools, Database, Python, R, and Microsoft Office.",,
Management System Staff,Medion Group,Bandung,Indonesia,"IDR 5,000,000.00 - IDR 7,000,000.00",Full Time,Entry Level,"Junior, Apprentice",Management and Consultancy,Veterinary,S1 Industrial Engineeringing,"Have a minimum of 1 year work experience, with a maximum age of 30 years","Fresh graduates are welcome to apply, with a maximum age of 24 years",GPA >= 2.75 from an educational institution with minimum B accreditation,Willing to be placed in Bandung,
Management Trainee,The Purple Oven Corporation,Quezon,Philippines,Salary Undisclosed,Full Time,Entry Level,"Junior, Apprentice",Manufacturing and Production,Food Production,Can see things through to uplift quality of work and people,"Are curious, resourceful, and creative","Is effective in communicating with all levels, within and across different departments",Inventory Control,Organizing and Planning,
Management Trainee,PT BFI Finance Indonesia Tbk,Tangerang,Indonesia,Salary Undisclosed,Full Time,Associate,Supervisor,Sales and Marketing,Financial Services,Financial Services,Maximum age 27 years,Have SIM A/ and C,Minimum education: S1 in all majors,Minimum GPA 2.75,Good Communication
Management Trainee - Branch Asset Management Supervisor Seluruh Indonesia,PT BFI Finance Indonesia Tbk,Denpansar,Indonesia,Salary Undisclosed,Full Time,Associate,Supervisor,"Legal, Consulting and Translation",Financial Services,Maximum age 27 years,Have SIM A/ and C,Minimum education: S1 in all majors,Minimum GPA 2.75,Good Communication,
"Management Trainee - Credit Analyst (Hiring point : Denpasar, Bali)",PT BFI Finance Indonesia Tbk,Denpansar,Indonesia,Salary Undisclosed,Full Time,Associate,Supervisor,"Legal, Consulting and Translation",Financial Services,Maximum age 27 years,Have SIM A/ and C,Minimum education: S1 in all majors,Minimum GPA 2.75,Good Communication,
Management Trainee - Mortgage Specialist,PT BFI Finance Indonesia Tbk,Bandung,Indonesia,Salary Undisclosed,Full Time,Entry Level,"Junior, Apprentice",Sales and Marketing,Financial Services,Maximum age 27 years,Have SIM A/ and C,Minimum education: S1 in all majors,Minimum GPA 2.75,Good Communication,
Management Trainee (MT) Asset Management,PT BFI Finance Indonesia Tbk,Tangerang,Indonesia,Salary Undisclosed,Full Time,Associate,Supervisor,"Legal, Consulting and Translation",Financial Services,"Minimum S1, any major","Single, male/female, maximum age 27 years",Willing to be placed throughout Indonesia,Willing to join the service bond for 2 years,"Have good communication, negotiation and interpersonal skills",
Management Trainee Batch 2,PT Green Energi Utama,Malang,Indonesia,Salary Undisclosed,Full Time,Entry Level,"Junior, Apprentice",Management and Consultancy,Oil and Energy,"Male/Female, fresh graduates are preferred",Not married yet,Vocational school education (maximum 20 years in mechanical Engineeringing preferred),"Bachelor's degree (maximum 25 years in all majors, mechanical, industrial and environmental Engineeringing)",TOEFL/TOEI certified,
Management Trainee Credit Analyst,PT BFI Finance Indonesia Tbk,Tangerang,Indonesia,Salary Undisclosed,Full Time,Entry Level,"Junior, Apprentice",Accounting and Finance,Financial Services,Maintaining applicable procedural mechanisms with third parties in a transparent and measurable manner in the pitching and media placement process.,Issue press releases related to IMC promotional activities.,"Carry out shopping or procurement of media placements, both conventional media and digital media",Minimum S1 education in all majors,Minimum 1 year experience in the same field,
Manager - Regional Commercial (BD/Sales) Hybrid,GlobalTix Pte Ltd,Singapore,Singapore,Salary Undisclosed,Full Time,Mid-Senior Level,Manager,Business Development and Sales,Information Technology and Services,Manage the development and launch of new product offerings.,"Manage content uploading not limited to product details, terms and conditions and order fulfillment process.",Develop and delivers internal presentations and communications to keep internal teams up to date on all Product Development matters.,Analyze the product of different competitors to ensure our best conditions in the market.,,
Mandarin Translator,PT. Yifang Investment Group,Tangerang,Indonesia,Salary Undisclosed,Full Time,Entry Level,"Junior, Apprentice",Education and Training,Electrical / Electronic Manufacturing,Have HSK 5 certification,Fluency in Mandarin and Indonesian: A Mandarin translator should be proficient in both languages to accurately convey the intended message.,Being able to communicate effectively in both written and spoken form is essential for conveying messages accurately.,Ability to manage time efficiently is a valuable skill.,Proficiency in translation software and tools,
Marketer,Hypotenuse AI,Singapore,Singapore,Salary Undisclosed,Full Time,Entry Level,"Junior, Apprentice",Sales and Marketing,Computer Software,At least 3+ years of B2B marketing experience,"Strong familiarity with B2B, SaaS tools and start-ups",You think about analytics and metrics more than Taylor Swift thinks about her ex-boyfriends,"You live and breathe CAC, CTR and conversion funnels","You know how to market to enterprise companies, and deeply understand B2B marketing strategies and tactics—with a track record of successfully driving demand and achieving revenue goals",
Marketing,CV Teknologi Berjaya,Surabaya,Indonesia,"IDR 10,429,227.00 - IDR 11,588,030.00",Full Time,Entry Level,"Junior, Apprentice",Sales and Marketing,Consumer Services,"Disciplined, deft, diligent",Have the will to develop,Get used to targets and deadlines,"Communicative, creative and innovative",Male,
Marketing,PT. Berca Kawan Sejati,Surabaya,Indonesia,Salary Undisclosed,Full Time,Entry Level,"Junior, Apprentice",Sales and Marketing,Cigarette Distributor,Maximum age 30 years,Interesting experience,Minimum SMA/SMK education,Have an active SIM C,Fresh graduate / Experienced in sales,
Marketing,Environmental Solutions (Asia) Pte Ltd,Singapore,Singapore,Salary Undisclosed,Full Time,Entry Level,"Junior, Apprentice",Sales and Marketing,Environmental Services,Research and help write or co-develop content for the company blog and website.,Adhoc research requests.,"Simple adaptation and amendment of existing collaterals such as posters, brochures.",Sourcing for royalty-free imagery for future use.,Assistance in in-house photo/video shoots.,
Marketing / Public Relations RSS,Think Indonesia,Surabaya,Indonesia,"IDR 2,000,000.00 - IDR 2,000,001.00 / month",Full Time,Entry Level,"Junior, Apprentice",Sales and Marketing,Management Consulting,Looking for customers,Sells and offers Joglo RSS restaurant products along with facilities,Make agreements with clients or companies,Work according to the targets set by the company,Able to work under pressure,
Marketing Agency,PT BFI Finance Indonesia Tbk,Yogyakarta,Indonesia,Salary Undisclosed,Full Time,Entry Level,"Junior, Apprentice",Sales and Marketing,Financial Services,Man / Woman,Max 30 years old,Attractive appearance (for CMS position),Minimum D3/S1 education (Min. 2 years experience in the same field),Have a private vehicle and an active SIM C,
